species,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,sweetness,total_cup_points,moisture,altitude_mean_meters
Arabica,Ethiopia,Caturra,7.83,7.83,8.17,7.92,8,10,85.75,0.09,NA
Arabica,Peru,,8,8,8.08,7.92,7.75,10,85.75,0.1,NA
Arabica,Papua New Guinea,,8.33,7.83,8.33,8,8.25,10,85.75,0.12,1700
Arabica,El Salvador,Bourbon,7.92,8,7.92,7.75,7.83,10,85.58,0.1,1500
Arabica,El Salvador,Bourbon,7.83,8,7.75,7.92,8.17,10,85.58,0.11,1350
Arabica,United States (Hawaii),Hawaiian Kona,7.83,7.92,7.75,8.08,8,10,85.58,0,NA
Arabica,Panama,Caturra,8,7.83,7.83,7.67,8.58,10,85.5,0.09,1680
Arabica,Kenya,SL28,7.92,7.83,8.08,7.83,7.92,10,85.5,0.1,1900
Arabica,Ethiopia,Other,7.83,7.83,7.92,7.83,8.08,10,85.5,0.12,1900
Arabica,Uganda,SL14,8.33,7.67,7.92,7.67,7.92,10,85.5,0.12,1600
Arabica,Guatemala,Bourbon,8,7.67,8.33,7.83,8,10,85.5,0.11,1731.264
Arabica,Ethiopia,,7.75,7.83,8.17,7.92,7.83,10,85.42,0.1,1900
Arabica,Uganda,SL14,8.08,7.83,7.67,8,7.83,10,85.42,0.12,1950
Arabica,United States (Hawaii),Hawaiian Kona,7.92,7.75,7.92,7.75,7.92,10,85.42,0,NA
Arabica,Brazil,Bourbon,8,8,7.67,7.75,8,10,85.42,0.11,1250
Arabica,El Salvador,,8.08,7.83,8.08,7.83,7.83,10,85.42,0.01,1400
Arabica,China,Catimor,8,8,7.83,7.83,7.75,10,85.33,0.1,1700
Arabica,Guatemala,Pacamara,7.83,7.83,7.67,7.83,8.58,10,85.33,0.11,1770
Arabica,Costa Rica,Caturra,7.92,8,7.92,8,8.08,9.33,85.33,0,1300
Arabica,Costa Rica,Caturra,8,7.58,7.67,8.08,8.5,10,85.33,0.1,1300
Arabica,Kenya,SL34,7.83,7.75,8.08,7.92,7.75,10,85.33,0,1600
Arabica,Kenya,SL34,8,7.92,8.08,7.83,7.75,10,85.33,0,1200
Arabica,Ethiopia,,7.83,7.92,8.08,7.75,7.83,10,85.33,0.05,NA
Arabica,Ethiopia,Typica,7.92,7.75,8.33,7.75,7.75,10,85.33,0.1,NA
Arabica,Guatemala,Bourbon,8,7.75,8,7.92,7.83,10,85.25,0.1,NA
Arabica,Colombia,Caturra,8.17,7.83,8,7.58,7.83,10,85.25,0.11,1550
Arabica,Colombia,Caturra,7.58,7.92,7.83,8,7.92,10,85.25,0.12,1550
Arabica,Indonesia,Sumatra Lintong,7.75,7.67,8,8.08,7.83,10,85.17,0.11,1325
Arabica,Guatemala,Caturra,8.25,7.67,7.92,7.75,7.67,10,85.17,0,1400
Arabica,Ethiopia,Other,7.75,7.58,8,8,7.92,10,85.08,0.11,NA
Arabica,Colombia,Caturra,8.17,7.58,8.08,8,7.75,10,85.08,0,2560
Arabica,Ethiopia,,8.42,7.42,8,7.92,7.92,10,85.08,0.1,1700
Arabica,United States (Hawaii),Hawaiian Kona,7.58,7.83,7.92,7.83,8.17,10,85.08,0.11,NA
Arabica,Colombia,Caturra,7.83,7.75,7.75,7.83,7.83,10,85.08,0.11,2136
Arabica,United States (Hawaii),,8.08,7.92,8,8.08,8,10,85.08,0.01,NA
Arabica,Ethiopia,,7.67,7.83,8,7.92,7.83,10,85.08,0,NA
Arabica,United States (Hawaii),,7.5,8.25,7.83,7.92,7.75,10,85.08,0,NA
Arabica,Uganda,SL14,8.17,7.75,7.75,7.67,7.75,10,85,0.11,1800
Arabica,Colombia,Caturra,8,7.75,7.92,7.75,7.83,10,85,0,NA
Arabica,Costa Rica,Catuai,7.83,7.58,7.92,7.92,7.83,10,85,0.12,1900
Arabica,Mexico,Typica,7.83,7.83,7.75,7.67,7.83,10,85,0.09,1300
Arabica,Kenya,,8.17,7.92,7.75,7.67,7.83,10,85,0.11,1
Arabica,Kenya,SL34,7.75,7.75,8.08,8,7.75,10,85,0,1580
Arabica,Brazil,Mundo Novo,8,7.83,7.83,7.67,7.67,10,85,0.12,1100
Arabica,Mexico,Pacamara,7.92,7.75,8.08,7.42,7.83,10,85,0,1400
Arabica,United States (Hawaii),,7.75,7.75,7.75,8,8,10,85,0,NA
Arabica,Guatemala,,7.83,7.67,8,7.75,7.67,10,85,0.04,1325.88
Arabica,Colombia,Caturra,7.92,7.67,7.83,7.92,7.83,10,84.92,0,NA
Arabica,Colombia,Caturra,7.92,7.75,7.83,7.75,8,10,84.92,0.12,1775
Arabica,Taiwan,Typica,7.67,8,7.58,8,7.92,10,84.92,0.11,800
Arabica,"Tanzania, United Republic Of",Other,8,7.83,7.92,7.75,7.75,10,84.92,0.12,1620
Arabica,Colombia,Caturra,7.75,7.83,7.75,7.75,8,10,84.92,0.11,1775
Arabica,Mexico,Typica,7.75,7.75,7.83,7.5,7.92,10,84.92,0.11,1200
Arabica,Brazil,Bourbon,8,7.75,7.75,8,7.75,10,84.92,0.11,1200
Arabica,Brazil,Catuai,8,7.75,8,7.5,7.75,10,84.92,0.12,1000
Arabica,Kenya,,8,7.83,8.17,7.92,7.75,10,84.92,0.06,NA
Arabica,Taiwan,Typica,7.92,7.83,7.83,7.83,7.83,10,84.83,0,350
Arabica,Uganda,SL14,7.75,7.67,7.67,8.25,7.75,10,84.83,0.12,1650
Arabica,United States (Hawaii),Hawaiian Kona,7.67,7.75,7.75,7.83,8,10,84.83,0,NA
Arabica,Ethiopia,,7.75,7.83,7.92,7.75,7.67,10,84.83,0.1,1750
Arabica,Ethiopia,,7.42,7.92,8,7.83,7.83,10,84.83,0.1,1750
Arabica,Thailand,Caturra,7.75,7.75,7.75,8,7.75,10,84.75,0.12,NA
Arabica,Kenya,SL34,7.92,7.58,7.92,7.75,7.83,10,84.75,0.13,1800
Arabica,Honduras,Catuai,7.83,8,7.67,7.67,7.67,10,84.75,0.11,1450
Arabica,El Salvador,,7.75,8,8.33,7.67,7.92,9.33,84.75,0.15,1200
Arabica,Nicaragua,,7.83,7.58,7.83,7.75,7.67,10,84.75,0.18,925
Arabica,El Salvador,Bourbon,7.83,7.5,8,7.83,7.67,10,84.67,0,1350
Arabica,Indonesia,Java,7.92,7.75,7.75,7.75,7.75,10,84.67,0.12,1200
Arabica,Japan,Mundo Novo,7.75,7.75,7.42,8.08,7.83,10,84.67,0.12,170
Arabica,Costa Rica,Catuai,8.08,7.67,7.83,7.5,7.92,10,84.67,0.1,1150
Arabica,Guatemala,Bourbon,7.75,7.58,8,7.92,7.75,10,84.67,0.1,1600
Arabica,Costa Rica,Caturra,8.17,7.83,7.17,7.83,7.75,10,84.67,0.12,1750
Arabica,Ethiopia,Ethiopian Yirgacheffe,8.08,7.75,7.83,7.58,7.67,10,84.67,0.1,1900
Arabica,Costa Rica,Other,7.67,7.75,7.75,7.67,8.58,10,84.67,0.08,1750
Arabica,Costa Rica,Catuai,8,7.83,7.75,7.75,7.75,10,84.67,0.11,1200
Arabica,Costa Rica,,8.08,7.75,7.83,7.92,8,9.33,84.67,0,NA
Arabica,Taiwan,Typica,8,7.75,7.75,7.75,7.75,10,84.67,0.11,1000
Arabica,Colombia,Caturra,7.75,7.75,7.83,7.75,7.83,10,84.67,0,1550
Arabica,Kenya,SL28,7.75,7.83,8,7.58,7.75,10,84.67,0.11,2000
Arabica,Guatemala,Bourbon,8,7.67,7.83,7.67,8,10,84.67,0.11,1310.64
Arabica,Guatemala,Bourbon,7.67,7.67,8,7.67,7.83,10,84.67,0.12,1524
Arabica,Mexico,Typica,7.83,7.67,7.92,7.92,7.83,10,84.67,0.13,1200
Arabica,Uganda,Other,7.92,7.75,7.92,7.67,7.75,10,84.67,0.11,1775
Arabica,Peru,,7.67,7.75,7.75,7.92,7.83,10,84.67,0,NA
Arabica,Ethiopia,,7.42,7.75,8,8,7.92,10,84.67,0.2,1750
Arabica,Kenya,SL34,7.92,7.83,7.75,7.58,7.92,10,84.58,0.11,1754
Arabica,Colombia,Other,7.83,7.58,7.92,7.67,7.83,10,84.58,0,1500
Arabica,Colombia,Caturra,7.92,7.58,8,7.83,7.67,10,84.58,0,NA
Arabica,Kenya,Peaberry,7.83,7.83,7.75,7.58,7.83,10,84.58,0.1,1800
Arabica,Guatemala,Pacas,7.75,7.67,7.92,7.75,7.83,10,84.58,0.11,1524
Arabica,Guatemala,Bourbon,8,7.67,7.58,7.58,7.67,10,84.58,0.09,1219.2
Arabica,Colombia,Caturra,7.67,7.58,7.75,7.58,8.5,10,84.58,0,1550
Arabica,Colombia,Caturra,7.75,7.83,7.75,7.58,8,10,84.58,0,1750
Arabica,Kenya,SL28,7.75,7.75,8.08,7.75,7.75,10,84.58,0,NA
Arabica,Colombia,Caturra,7.67,7.83,8,7.58,7.92,10,84.58,0,1750
Arabica,Costa Rica,Bourbon,7.75,7.75,8,7.83,7.67,10,84.58,0.12,1575
Arabica,Colombia,Caturra,7.42,7.75,7.75,8.08,7.83,10,84.58,0.11,1800
Arabica,Brazil,Bourbon,8,7.75,7.75,7.58,7.75,10,84.58,0.12,1300
Arabica,Brazil,Catuai,8.5,7.5,7.75,7.5,7.83,10,84.58,0.11,1100
Arabica,Costa Rica,Caturra,7.92,7.92,7.75,7.67,7.58,10,84.5,0.1,1200
Arabica,Uganda,SL14,7.92,7.67,7.75,7.83,7.75,10,84.5,0.11,1750
Arabica,China,Catimor,7.75,7.67,7.83,7.75,7.67,10,84.5,0.1,1680
Arabica,Costa Rica,Caturra,7.92,7.83,7.83,7.58,7.58,10,84.5,0.11,1700
Arabica,Colombia,Other,8.08,7.83,7.83,7.67,7.67,10,84.5,0.12,1800
Arabica,China,Other,7.67,7.75,7.83,7.75,7.58,10,84.5,0,1100
Arabica,Guatemala,Bourbon,8.17,7.67,7.83,7.67,7.83,10,84.5,0.11,1310.64
Arabica,Kenya,SL28,7.92,7.67,8,7.67,7.75,10,84.5,0.11,2000
Arabica,Mexico,Typica,8,7.42,8.08,7.5,7.67,10,84.5,0.12,1350
Arabica,Mexico,Typica,7.92,7.75,7.75,7.75,7.83,10,84.5,0.11,1500
Arabica,Guatemala,Bourbon,7.67,7.67,8,7.5,7.83,10,84.5,0.11,NA
Arabica,Brazil,,7.81,7.88,7.75,7.38,8.25,10,84.5,0,NA
Arabica,Brazil,,8.17,7.75,7.75,7.67,7.75,10,84.5,0,NA
Arabica,Costa Rica,Caturra,7.58,7.83,8,7.67,7.58,10,84.42,0.1,1300
Arabica,Indonesia,Mandheling,7.67,7.83,7.58,7.83,7.83,10,84.42,0,1400
Arabica,Colombia,Caturra,7.92,7.75,7.67,7.92,7.67,10,84.42,0,NA
Arabica,Colombia,Caturra,7.92,7.67,7.92,7.67,7.75,10,84.42,0,1775
Arabica,Taiwan,Typica,7.83,7.75,8,7.5,7.75,10,84.42,0.11,1200
Arabica,United States (Hawaii),Hawaiian Kona,7.92,7.5,7.83,7.5,7.92,10,84.42,0.11,NA
Arabica,Mexico,Pacamara,7.75,7.75,7.67,7.83,7.67,10,84.42,0.12,900
Arabica,Ethiopia,,7.5,7.83,7.92,7.92,7.75,10,84.42,0.2,NA
Arabica,Kenya,SL28,7.33,7.83,7.75,7.75,7.92,10,84.33,0.11,1800
Arabica,Honduras,Caturra,7.92,7.75,7.67,7.67,7.75,10,84.33,0.1,1500
Arabica,Colombia,Caturra,7.58,7.5,7.83,7.67,8.5,10,84.33,0,NA
Arabica,Honduras,Catuai,7.58,7.58,7.75,7.92,7.75,10,84.33,0.11,1500
Arabica,Colombia,,7.67,7.75,7.83,7.75,7.83,10,84.33,0,NA
Arabica,Colombia,Caturra,7.75,8,7.67,8.08,7.83,10,84.33,0.11,442
Arabica,Colombia,Caturra,7.75,7.33,7.83,7.58,8.08,10,84.33,0,1800
Arabica,Mexico,Typica,8,7.75,7.83,7.5,7.67,10,84.33,0.12,1700
Arabica,Brazil,Yellow Bourbon,8.17,7.5,7.75,7.5,7.67,10,84.33,0,1275
Arabica,Brazil,,8,7.5,7.5,7.67,7.75,10,84.33,0.02,1050
Arabica,Ethiopia,,7.75,7.92,7.75,7.5,7.92,10,84.33,0,1493.52
Arabica,Guatemala,,7.5,7.75,7.67,7.92,7.92,10,84.33,0.04,1386.84
Arabica,Taiwan,Typica,7.92,7.75,7.67,7.67,7.83,10,84.25,0.12,1000
Arabica,Thailand,Catimor,7.83,7.75,7.42,7.83,7.67,10,84.25,0.12,1200
Arabica,Colombia,Caturra,7.83,7.75,7.58,7.67,8,10,84.25,0.11,2560
Arabica,Guatemala,Caturra,7.75,7.58,7.92,7.75,7.75,10,84.25,0.11,1500
Arabica,Guatemala,Caturra,7.75,7.5,8.08,7.58,7.67,10,84.25,0.1,1099.4136
Arabica,China,Catimor,7.83,7.58,7.75,7.75,7.75,10,84.25,0.1,1400
Arabica,Colombia,Caturra,7.67,7.75,7.75,7.67,7.92,10,84.25,0.11,1775
Arabica,Colombia,Caturra,7.83,7.75,7.58,7.92,7.75,10,84.25,0.12,1775
Arabica,Colombia,Other,7.83,7.83,7.58,7.67,7.75,10,84.25,0.12,1800
Arabica,Colombia,Caturra,7.42,7.83,7.75,7.92,7.83,10,84.25,0.12,442
Arabica,"Tanzania, United Republic Of",Other,7.83,7.75,7.83,7.67,7.67,10,84.25,0.12,1620
Arabica,"Tanzania, United Republic Of",Other,7.83,7.75,7.75,7.67,7.75,10,84.25,0.12,1600
Arabica,Guatemala,Bourbon,7.83,7.5,7.92,7.58,7.75,10,84.25,0.1,1219.2
Arabica,Colombia,Caturra,7.58,7.75,7.83,7.92,7.83,10,84.25,0.11,1700
Arabica,United States (Hawaii),Hawaiian Kona,7.33,7.92,7.92,7.92,8.08,9.33,84.25,0.11,NA
Arabica,Mexico,Typica,7.83,7.67,7.83,7.5,7.75,10,84.25,0.12,1450
Arabica,Mexico,Bourbon,7.83,7.75,7.67,7.83,7.58,10,84.25,0.12,1170
Arabica,Mexico,Bourbon,7.83,7.67,7.75,7.5,7.75,10,84.25,0.1,1400
Arabica,Uganda,Other,8.17,7.58,7.67,7.83,7.58,10,84.25,0.13,1700
Arabica,Guatemala,Bourbon,7.75,7.58,7.83,7.67,7.75,10,84.17,0.13,1700
Arabica,Colombia,Caturra,7.83,7.58,7.67,7.75,7.83,10,84.17,0,NA
Arabica,Costa Rica,Caturra,7.92,7.67,7.67,7.5,7.67,10,84.17,0.09,1700
Arabica,Guatemala,Caturra,7.75,7.58,8,7.67,7.83,10,84.17,0.11,1116.7872
Arabica,Guatemala,Caturra,7.75,7.58,7.92,7.67,7.67,10,84.17,0.1,1565
Arabica,Guatemala,Bourbon,7.58,7.58,7.83,7.83,7.67,10,84.17,0.1,3280
Arabica,Colombia,Caturra,8,7.5,7.67,8,7.83,10,84.17,0,1775
Arabica,Nicaragua,Caturra,7.67,7.83,7.5,7.67,7.83,10,84.17,0.12,1000
Arabica,Brazil,Catuai,7.67,7.75,7.67,7.83,7.75,10,84.17,0,1150
Arabica,Costa Rica,Caturra,7.67,7.67,7.75,7.5,8,10,84.17,0,1850
Arabica,Ethiopia,Gesha,7.5,7.58,7.83,7.75,7.83,10,84.17,0.1,1606.5
Arabica,"Tanzania, United Republic Of",Other,7.92,7.75,7.75,7.75,7.58,10,84.17,0.13,1400
Arabica,Colombia,Other,7.67,7.67,7.42,7.83,8.58,10,84.17,0.12,1530
Arabica,Guatemala,,7.67,7.67,7.75,7.75,7.75,10,84.17,0.11,NA
Arabica,Kenya,SL28,7.58,7.75,7.75,7.75,7.83,10,84.17,0.08,250.5
Arabica,Brazil,Mundo Novo,7.58,7.75,7.67,7.67,8,10,84.17,0.11,1038.5
Arabica,Guatemala,Bourbon,7.92,7.67,7.67,7.83,7.92,10,84.17,0.11,1310.64
Arabica,El Salvador,Bourbon,8.42,7.5,7.17,7.58,8.17,10,84.17,0.11,1500
Arabica,Colombia,Caturra,7.75,7.75,7.75,7.83,7.75,10,84.17,0,1750
Arabica,Guatemala,Catuai,7.83,7.5,8,7.83,7.83,10,84.17,0.11,NA
Arabica,Uganda,Other,7.83,7.5,7.83,7.83,7.75,10,84.17,0.11,1600
Arabica,Indonesia,Mandheling,7.81,7.56,7.75,7.63,7.75,10,84.13,0.12,NA
Arabica,Colombia,Caturra,7.83,7.42,7.5,7.83,8.5,10,84.08,0,442
Arabica,Taiwan,Typica,7.58,7.67,7.67,7.75,7.83,10,84.08,0.1,968
Arabica,Guatemala,Bourbon,8,7.5,7.58,7.92,7.67,10,84.08,0.1,NA
Arabica,Colombia,Caturra,7.92,7.67,7.75,7.67,7.67,10,84.08,0,1775
Arabica,Guatemala,Bourbon,7.58,7.67,8,7.75,7.67,10,84.08,0.1,1550
Arabica,United States (Hawaii),Hawaiian Kona,7.83,7.83,7.83,7.42,8.08,10,84.08,0.11,NA
Arabica,Mexico,Typica,7.67,7.67,7.75,7.67,7.75,10,84.08,0.11,1480
Arabica,Ethiopia,Other,7.92,7.83,8,7.92,7.92,8.67,84.08,0.09,1800
Arabica,Costa Rica,,7.58,7.67,7.75,7.83,7.75,10,84,0.08,NA
Arabica,Ethiopia,Gesha,7.83,7.67,7.75,7.33,7.75,10,84,0.11,1800
Arabica,Honduras,Caturra,7.42,7.75,7.92,7.75,7.58,10,84,0.1,1500
Arabica,Guatemala,Caturra,7.67,7.58,7.92,7.75,7.67,10,84,0.12,1706.88
Arabica,Colombia,Other,7.67,7.83,7.58,7.58,7.83,10,84,0.11,1600
Arabica,Guatemala,Bourbon,7.92,7.42,7.92,7.75,7.83,10,84,0.1,1219.2
Arabica,Guatemala,Bourbon,7.75,7.5,7.83,7.58,7.67,10,84,0.1,1219.2
Arabica,Colombia,,7.67,7.67,7.67,7.67,7.75,10,84,0.12,1480
Arabica,Colombia,Caturra,7.58,7.75,7.92,7.75,7.92,10,84,0.12,1450
Arabica,Colombia,Caturra,7.67,7.5,7.5,7.67,7.67,10,84,0.12,1775
Arabica,Ethiopia,Other,7.75,7.5,7.58,7.67,7.92,10,84,0.09,1550
Arabica,Brazil,Yellow Bourbon,7.58,7.67,7.25,8,7.75,10,84,0.1,1260
Arabica,Colombia,Caturra,7.67,7.67,7.75,7.67,7.75,10,84,0.11,1700
Arabica,Kenya,SL34,7.67,7.5,7.75,7.92,7.67,10,84,0,1200
Arabica,Thailand,Other,7.92,8.17,8.42,8.08,8.17,9.33,84,0.12,NA
Arabica,Kenya,SL28,7.67,7.67,7.75,7.83,7.67,10,84,0,1650
Arabica,Uganda,Other,7.92,7.58,7.67,7.67,7.83,10,84,0.1,1700
Arabica,Thailand,,7.58,7.58,7.75,7.58,7.75,10,84,0.06,NA
Arabica,Brazil,Bourbon,7.5,7.58,7.5,7.58,7.5,10,83.92,0,890
Arabica,Mexico,Mundo Novo,7.83,7.58,7.92,7.42,7.5,10,83.92,0.11,1300
Arabica,Thailand,Catimor,7.67,7.5,7.67,7.67,7.83,10,83.92,0.1,1350
Arabica,Brazil,Bourbon,7.58,7.67,7.75,7.58,7.83,10,83.92,0.11,934
Arabica,Taiwan,Typica,7.83,7.83,7.75,7.83,7.75,10,83.92,0.11,1200
Arabica,Colombia,,7.75,7.5,7.75,7.83,7.75,10,83.92,0.11,442
Arabica,Colombia,,7.75,7.5,7.83,7.75,7.92,10,83.92,0,NA
Arabica,Taiwan,,7.75,7.58,7.75,7.75,7.67,10,83.92,0,NA
Arabica,Colombia,,7.92,7.5,7.83,7.58,7.67,10,83.92,0,NA
Arabica,Colombia,,7.83,7.58,7.58,7.75,7.75,10,83.92,0,NA
Arabica,Colombia,Caturra,7.75,7.67,7.83,7.83,7.67,10,83.92,0,1775
Arabica,Taiwan,Typica,8,7.92,7.92,7.67,7.33,10,83.92,0.06,950
Arabica,Colombia,Caturra,7.67,7.67,7.75,7.67,7.83,10,83.92,0.12,1550
Arabica,Mexico,Typica,7.67,7.58,7.67,7.75,7.83,10,83.92,0.12,900
Arabica,Mexico,Typica,7.5,7.58,7.83,7.75,7.75,10,83.92,0.11,1500
Arabica,Mexico,Typica,7.75,7.83,7.92,7.75,7.67,10,83.92,0,1400
Arabica,Colombia,Caturra,7.92,7.5,7.83,7.58,7.67,10,83.83,0,2527
Arabica,Colombia,Caturra,7.83,7.5,7.75,7.75,7.75,10,83.83,0,NA
Arabica,Costa Rica,Caturra,7.67,7.75,7.67,7.5,7.75,10,83.83,0,1850
Arabica,Guatemala,Bourbon,7.75,7.5,7.75,7.83,7.58,10,83.83,0.11,1500
Arabica,Taiwan,,7.75,7.5,7.75,7.75,7.67,10,83.83,0,1200
Arabica,Brazil,Yellow Bourbon,7.25,7.42,8,7.75,7.83,10,83.83,0,1
Arabica,Taiwan,Typica,7.67,7.67,7.75,7.42,7.75,10,83.83,0,525
Arabica,Ethiopia,,7.75,7.67,7.67,7.58,7.67,10,83.83,0.12,1676.5
Arabica,Brazil,Bourbon,7.67,7.58,7.5,7.83,8.17,9.33,83.83,0,1200
Arabica,Costa Rica,Catuai,7.83,7.5,7.83,7.75,7.83,10,83.83,0.1,1300
Arabica,Guatemala,Bourbon,7.58,7.33,8,7.58,7.75,10,83.83,0.1,1219.2
Arabica,Brazil,Yellow Bourbon,7.92,7.33,7.67,8.17,7.5,10,83.83,0.1,1260
Arabica,Ecuador,,7.5,7.58,7.75,7.83,7.83,10,83.83,0.09,800
Arabica,Colombia,Caturra,7.67,7.58,7.83,7.58,7.67,10,83.83,0.11,1750
Arabica,Guatemala,Bourbon,7.5,7.5,7.83,7.83,7.67,10,83.83,0.11,1310.64
Arabica,Mexico,Bourbon,7.67,7.67,7.42,7.67,7.5,10,83.83,0.1,1218
Arabica,Mexico,Pacas,7.67,7.5,7.75,7.75,7.75,10,83.83,0.11,1300
Arabica,Brazil,Yellow Bourbon,7.83,7.58,7.67,7.5,7.58,10,83.83,0.12,1250
Arabica,Thailand,,7.75,7.58,8,7.67,7.58,10,83.83,0.02,1499.9208
Arabica,Thailand,,7.5,7.58,7.58,7.75,7.83,10,83.83,0.01,NA
Arabica,Ethiopia,,7.58,7.58,8,7.83,7.5,10,83.83,0.1,NA
Arabica,Kenya,SL28,7.75,7.5,7.58,7.75,7.75,10,83.75,0.11,1800
Arabica,Brazil,Bourbon,7.67,7.58,7.75,7.67,7.67,10,83.75,0.11,890
Arabica,Colombia,Caturra,7.83,7.58,7.58,7.58,7.58,10,83.75,0.11,442
