Member_Name,Date,Item
1226,12/11/2015,lemon
4236,25/11/2015,lemon
4667,07/05/2015,lemon
4807,27/01/2015,lemon
2757,28/04/2015,lemon
2765,22/07/2015,lemon
2834,26/12/2015,lemon
1248,25/08/2015,lemon
2990,12/08/2015,lemon
1368,15/07/2015,lemon
4396,12/06/2015,lemon
3755,28/09/2015,lemon
1908,10/06/2015,lemon
1660,26/07/2015,lemon
2464,19/07/2015,lemon
2135,25/01/2015,lemon
2692,09/10/2015,lemon
2328,22/02/2015,lemon
3872,03/11/2015,lemon
3774,16/09/2015,lemon
2001,28/01/2015,lemon
2698,24/01/2015,lemon
3072,08/06/2015,lemon
2363,22/05/2015,lemon
3841,19/07/2015,berries
3693,18/02/2015,berries
3699,23/08/2015,berries
2426,05/06/2015,berries
4092,30/09/2015,berries
3236,04/07/2015,berries
2996,19/05/2015,berries
2270,30/09/2015,berries
2200,11/03/2015,berries
4073,29/01/2015,berries
3169,02/07/2015,berries
3097,10/08/2015,berries
4109,08/02/2015,berries
1156,13/09/2015,berries
2882,12/06/2015,berries
4219,19/03/2015,berries
3452,01/11/2015,berries
2226,09/03/2015,berries
2678,21/09/2015,berries
3232,29/05/2015,berries
2146,20/06/2015,berries
3938,26/05/2015,berries
3489,18/11/2015,berries
1983,06/07/2015,berries
3732,29/11/2015,berries
2115,24/06/2015,berries
4445,01/12/2015,berries
2960,31/08/2015,berries
1479,14/05/2015,berries
4251,03/10/2015,berries
1032,15/06/2015,berries
3181,22/03/2015,berries
4334,10/11/2015,berries
2583,26/03/2015,berries
4442,10/06/2015,berries
2634,22/04/2015,berries
2231,08/05/2015,berries
3411,19/06/2015,berries
1851,29/06/2015,berries
3389,17/08/2015,berries
3073,17/01/2015,berries
3132,29/08/2015,berries
3912,06/01/2015,berries
4883,10/01/2015,berries
2222,21/07/2015,berries
4509,29/11/2015,berries
3709,08/08/2015,berries
3621,09/04/2015,berries
3905,19/06/2015,berries
2313,18/02/2015,berries
3450,03/10/2015,berries
2225,12/03/2015,berries
3718,18/10/2015,berries
4867,03/01/2015,berries
1958,03/07/2015,berries
3728,04/10/2015,berries
1923,14/02/2015,beverages
1482,22/11/2015,beverages
4720,22/02/2015,beverages
1199,09/11/2015,beverages
2840,12/02/2015,beverages
1768,26/05/2015,beverages
2040,07/10/2015,beverages
4348,26/02/2015,beverages
1685,30/03/2015,beverages
2095,29/09/2015,beverages
4400,11/12/2015,beverages
1811,24/05/2015,beverages
1031,26/08/2015,beverages
2363,24/06/2015,beverages
2864,03/08/2015,beverages
1806,06/07/2015,beverages
4572,19/08/2015,beverages
4348,11/04/2015,beverages
2672,12/07/2015,beverages
4354,16/01/2015,beverages
4954,10/06/2015,beverages
3214,22/12/2015,beverages
1436,01/03/2015,beverages
4431,16/11/2015,beverages
1279,10/09/2015,beverages
1242,13/12/2015,beverages
4761,01/03/2015,beverages
1493,23/02/2015,beverages
4369,25/08/2015,beverages
2386,03/01/2015,beverages
4338,27/08/2015,beverages
3428,16/03/2015,beverages
4812,27/05/2015,beverages
3674,22/03/2015,beverages
3985,18/02/2015,beverages
4437,20/10/2015,beverages
1381,23/03/2015,beverages
2475,10/11/2015,beverages
4808,20/08/2015,beverages
3795,17/01/2015,tea
4498,11/02/2015,tea
2209,03/10/2015,tea
2980,27/04/2015,tea
3207,26/11/2015,tea
2988,14/10/2015,tea
4426,06/06/2015,tea
4353,25/05/2015,tea
4413,03/08/2015,tea
1731,09/09/2015,tea
3084,04/09/2015,tea
4851,25/05/2015,tea
3176,25/05/2015,tea
1843,27/11/2015,tea
4560,01/07/2015,tea
4932,08/07/2015,tea
4274,01/08/2015,tea
4537,12/10/2015,tea
1761,02/10/2015,tea
2689,11/01/2015,tea
2555,11/11/2015,tea
1365,02/11/2015,tea
3774,12/01/2015,tea
1912,22/08/2015,tea
2700,15/11/2015,tea
2209,20/04/2015,tea
1477,13/05/2015,tea
2462,25/03/2015,tea
4017,04/11/2015,tea
4790,16/05/2015,tea
4678,31/03/2015,tea
4939,29/06/2015,tea
4588,30/04/2015,tea
1482,06/07/2015,tea
4783,10/10/2015,tea
2781,10/04/2015,tea
2168,25/11/2015,tea
4224,06/12/2015,tea
2136,10/02/2015,tea
1611,04/04/2015,tea
1298,27/07/2015,tea
1321,13/04/2015,tea
4351,16/01/2015,tea
2232,06/05/2015,tea
3643,20/09/2015,tea
4166,26/07/2015,tea
3406,13/09/2015,tea
2601,20/05/2015,tea
4680,27/08/2015,tea
4052,21/04/2015,tea
4430,22/02/2015,tea
4456,21/03/2015,tea
2530,30/08/2015,tea
4127,12/11/2015,tea
2435,30/08/2015,tea
4745,12/04/2015,tea
1472,11/02/2015,tea
3595,06/08/2015,tea
2327,08/12/2015,tea
1421,07/08/2015,tea
2129,04/03/2015,tea
4968,13/11/2015,tea
2449,21/04/2015,tea
3322,11/02/2015,tea
3848,11/10/2015,tea
3475,10/06/2015,tea
1988,08/09/2015,tea
1759,26/09/2015,tea
4864,27/03/2015,tea
3013,21/08/2015,tea
3178,22/10/2015,tea
2400,22/03/2015,tea
2160,06/10/2015,tea
1880,15/09/2015,tea
3180,15/09/2015,tea
1168,11/02/2015,tea
3148,28/03/2015,tea
4510,26/03/2015,tea
1299,03/06/2015,tea
2000,23/08/2015,tea
2918,11/10/2015,tea
1482,24/07/2015,tea
4499,06/05/2015,tea
3224,19/01/2015,tea
2625,06/03/2015,tea
3408,05/11/2015,tea
1069,20/08/2015,tea
2005,22/09/2015,tea
2618,14/09/2015,tea
4810,17/03/2015,tea
3871,31/07/2015,tea
4101,30/04/2015,tea
3337,10/01/2015,tea
4976,17/07/2015,tea
2505,30/11/2015,tea
1344,04/09/2015,tea
1649,30/06/2015,tea
4099,27/01/2015,tea
1178,15/11/2015,tea
2426,08/09/2015,tea
2962,01/03/2015,tea
1122,21/12/2015,tea
2253,16/06/2015,tea
3737,03/03/2015,tea
4261,16/02/2015,tea
1537,01/02/2015,tea
1264,17/11/2015,tea
3242,23/05/2015,tea
4242,30/03/2015,tea
4166,30/04/2015,tea
2289,04/11/2015,tea
3384,29/11/2015,tea
4740,02/10/2015,tea
3120,14/01/2015,tea
4999,26/12/2015,tea
4822,10/02/2015,tea
4045,22/12/2015,tea
3151,25/09/2015,tea
1171,05/05/2015,tea
2106,13/08/2015,tea
3857,01/10/2015,tea
4459,18/12/2015,tea
2729,24/09/2015,tea
3465,01/11/2015,tea
3072,26/01/2015,tea
3846,28/01/2015,tea
2448,17/08/2015,tea
2001,09/09/2015,tea
2304,01/07/2015,tea
2523,04/04/2015,tea
3899,24/12/2015,tea
3015,12/06/2015,tea
2818,11/11/2015,tea
3985,20/01/2015,tea
3032,05/06/2015,tea
1404,03/05/2015,tea
1634,03/12/2015,tea
1055,25/05/2015,tea
3640,08/10/2015,tea
4153,27/07/2015,tea
3095,16/08/2015,tea
2534,18/05/2015,tea
2769,23/04/2015,tea
2212,28/10/2015,tea
4605,13/08/2015,tea
3072,28/02/2015,tea
2077,07/05/2015,tea
4456,16/05/2015,tea
4170,19/01/2015,tea
2602,11/12/2015,tea
2380,12/02/2015,tea
4108,21/07/2015,tea
4571,03/03/2015,tea
3641,27/12/2015,tea
4718,04/09/2015,tea
4531,16/10/2015,tea
4159,28/12/2015,tea
4277,06/12/2015,tea
3450,08/03/2015,tea
4687,13/01/2015,tea
4245,04/06/2015,tea
1784,26/09/2015,tea
1985,26/11/2015,tea
2439,31/10/2015,tea
2918,11/12/2015,tea
4312,19/10/2015,tea
1980,15/10/2015,tea
1283,30/05/2015,tea
1130,18/09/2015,tea
1501,17/08/2015,tea
1105,22/05/2015,tea
4194,07/02/2015,tea
1325,26/05/2015,tea
1903,25/01/2015,tea
3303,25/01/2015,tea
2311,06/06/2015,tea
2707,22/06/2015,tea
1943,24/03/2015,tea
1678,23/08/2015,tea
3476,21/04/2015,tea
3560,29/09/2015,tea
2433,19/10/2015,tea
4633,14/04/2015,tea
4845,28/08/2015,tea
2113,07/09/2015,tea
1461,21/12/2015,tea
1349,13/04/2015,tea
4217,05/02/2015,tea
1339,28/11/2015,tea
2410,21/11/2015,tea
4512,21/12/2015,tea
3365,28/06/2015,tea
1924,02/03/2015,tea
2374,23/06/2015,tea
2083,28/03/2015,tea
4286,08/03/2015,red cabbage
1239,31/08/2015,red cabbage
1634,16/01/2015,red cabbage
1395,11/06/2015,red cabbage
2297,01/03/2015,red cabbage
4117,06/01/2015,red cabbage
1516,28/01/2015,red cabbage
3971,30/12/2015,red cabbage
3891,22/11/2015,red cabbage
3082,25/09/2015,red cabbage
3497,08/09/2015,red cabbage
1373,10/05/2015,red cabbage
2693,02/11/2015,red cabbage
3113,18/06/2015,red cabbage
2082,23/11/2015,red cabbage
1483,25/04/2015,red cabbage
1594,23/01/2015,red cabbage
4648,03/08/2015,red cabbage
4831,12/04/2015,red cabbage
2147,12/11/2015,red cabbage
2289,06/09/2015,red cabbage
3867,07/09/2015,red cabbage
1108,30/07/2015,red cabbage
4259,24/06/2015,red cabbage
1878,22/02/2015,red cabbage
3863,13/06/2015,red cabbage
2787,05/03/2015,red cabbage
1828,24/03/2015,red cabbage
4224,04/10/2015,red cabbage
4916,25/01/2015,red cabbage
3174,09/02/2015,red cabbage
4736,21/07/2015,milk
2448,12/07/2015,milk
4127,23/10/2015,milk
2394,22/11/2015,milk
2211,01/01/2015,milk
4677,24/01/2015,milk
4807,18/06/2015,milk
3855,02/12/2015,milk
2765,04/09/2015,milk
3022,15/11/2015,milk
4071,15/10/2015,milk
2505,10/10/2015,milk
2718,23/03/2015,milk
4497,20/02/2015,milk
1160,04/09/2015,milk
3363,25/01/2015,milk
1635,25/11/2015,milk
1049,01/07/2015,milk
1153,18/02/2015,milk
2512,19/01/2015,milk
3164,30/09/2015,milk
2054,15/12/2015,milk
2867,25/06/2015,milk
1192,09/01/2015,milk
3661,27/11/2015,milk
4635,16/10/2015,milk
2745,27/01/2015,milk
1546,03/01/2015,milk
2851,17/02/2015,milk
1715,21/05/2015,milk
2788,03/09/2015,milk
4540,24/02/2015,milk
4439,01/01/2015,milk
4197,13/05/2015,milk
2152,23/07/2015,milk
3182,12/03/2015,milk
1194,13/05/2015,milk
3214,27/03/2015,milk
2799,17/06/2015,milk
1785,15/07/2015,milk
1443,09/10/2015,milk
4298,25/07/2015,milk
4588,08/11/2015,milk
4356,01/12/2015,milk
2810,08/09/2015,skimmed milk
2658,16/10/2015,skimmed milk
3928,18/07/2015,skimmed milk
4340,25/12/2015,skimmed milk
1018,23/05/2015,skimmed milk
3404,07/12/2015,skimmed milk
4825,15/11/2015,skimmed milk
2550,08/06/2015,skimmed milk
4425,17/10/2015,skimmed milk
3067,17/07/2015,skimmed milk
3741,06/08/2015,skimmed milk
4652,08/04/2015,skimmed milk
4999,16/05/2015,skimmed milk
1233,13/08/2015,skimmed milk
1502,16/04/2015,skimmed milk
1497,10/10/2015,skimmed milk
1646,15/08/2015,skimmed milk
4811,11/01/2015,skimmed milk
3946,19/06/2015,skimmed milk
1885,27/05/2015,skimmed milk
3983,09/09/2015,skimmed milk
4765,05/07/2015,skimmed milk
1052,06/07/2015,skimmed milk
1002,30/08/2015,skimmed milk
2893,12/12/2015,candles
4988,29/10/2015,candles
1311,12/02/2015,candy
3143,21/01/2015,candy
2700,18/10/2015,candy
1380,20/04/2015,candy
2421,27/10/2015,candy
3527,29/09/2015,tea
3903,06/10/2015,tea
3365,01/02/2015,tea
4760,22/02/2015,tea
3649,16/01/2015,tea
2587,07/05/2015,tea
3310,17/01/2015,tea
4249,13/09/2015,tea
3060,05/07/2015,tea
2460,28/09/2015,tea
2703,08/05/2015,tea
4148,09/04/2015,tea
3268,06/11/2015,tea
1949,22/07/2015,tea
2507,05/01/2015,tea
4694,06/02/2015,tea
2353,07/02/2015,tea
3130,18/02/2015,tea
4565,30/12/2015,tea
3783,17/02/2015,tea
2908,15/03/2015,tea
3486,08/11/2015,tea
2394,21/06/2015,tea
4616,16/08/2015,tea
2362,08/07/2015,tea
2170,18/06/2015,tea
3090,27/09/2015,tea
4616,01/01/2015,tea
3752,25/04/2015,tea
2592,04/07/2015,tea
2982,14/06/2015,tea
3859,30/09/2015,tea
1401,27/01/2015,tea
4627,18/12/2015,tea
2847,23/11/2015,tea
3811,24/06/2015,tea
2513,12/02/2015,tea
3298,28/01/2015,tea
2305,05/01/2015,tea
1603,23/07/2015,tea
4864,22/07/2015,tea
2307,29/06/2015,tea
4895,10/08/2015,tea
3390,01/12/2015,tea
4965,11/10/2015,tea
4717,16/05/2015,tea
4934,31/10/2015,tea
3793,22/01/2015,tea
1799,07/08/2015,tea
2955,05/06/2015,tea
2830,28/05/2015,tea
2998,14/07/2015,tea
2399,12/02/2015,tea
2675,15/09/2015,tea
2331,28/11/2015,tea
3574,13/02/2015,tea
1612,05/03/2015,tea
3455,01/02/2015,tea
3816,18/12/2015,tea
2508,06/10/2015,tea
3574,05/11/2015,tea
3543,17/05/2015,tea
1776,15/02/2015,tea
1701,17/05/2015,tea
3266,19/08/2015,tea
1162,06/08/2015,tea
1025,19/08/2015,tea
1000,24/07/2015,tea
2234,29/07/2015,tea
1998,18/05/2015,tea
2804,18/01/2015,tea
2975,09/10/2015,tea
2578,26/11/2015,tea
3259,15/02/2015,tea
4992,23/05/2015,tea
3674,13/08/2015,tea
4847,03/02/2015,tea
2851,16/09/2015,tea
1465,09/11/2015,tea
1150,25/05/2015,tea
1144,13/08/2015,tea
1859,12/04/2015,tea
1682,01/11/2015,tea
1764,15/11/2015,tea
4002,28/08/2015,tea
3018,18/01/2015,tea
3600,17/08/2015,tea
2441,31/05/2015,tea
1786,10/02/2015,tea
3914,08/01/2015,tea
1603,13/07/2015,tea
3954,10/02/2015,tea
1799,13/06/2015,tea
1886,02/12/2015,tea
2476,25/02/2015,tea
2089,31/10/2015,tea
2470,14/05/2015,tea
2285,16/12/2015,tea
1945,24/04/2015,tea
4689,07/09/2015,tea
4266,31/07/2015,tea
3525,14/02/2015,tea
1354,29/11/2015,tea
2940,21/05/2015,tea
4470,31/03/2015,tea
2855,05/08/2015,tea
3246,27/08/2015,tea
3424,16/08/2015,tea
3402,29/03/2015,tea
3490,09/07/2015,tea
4576,17/09/2015,tea
3885,15/10/2015,tea
2690,17/10/2015,tea
1923,30/04/2015,tea
3612,13/06/2015,tea
3478,02/04/2015,tea
3666,12/04/2015,tea
1468,09/10/2015,tea
4982,01/08/2015,tea
3560,27/09/2015,tea
2344,14/02/2015,tea
3743,06/05/2015,tea
1098,07/05/2015,tea
2406,04/09/2015,tea
1251,26/11/2015,tea
2143,25/07/2015,tea
3763,29/04/2015,tea
1754,08/07/2015,tea
3593,31/08/2015,tea
2718,12/06/2015,tea
1222,07/08/2015,tea
2316,08/06/2015,tea
4127,11/04/2015,tea
2500,30/03/2015,tea
3315,12/09/2015,tea
4243,22/08/2015,tea
2089,17/04/2015,tea
3718,12/07/2015,tea
4303,08/04/2015,tea
1996,10/05/2015,tea
3495,01/02/2015,tea
4799,09/02/2015,tea
4915,18/09/2015,tea
4894,23/12/2015,tea
4785,13/09/2015,tea
3412,26/01/2015,tea
3972,08/06/2015,tea
1216,19/06/2015,tea
4988,04/10/2015,tea
4486,21/07/2015,tea
4114,05/04/2015,tea
2194,05/06/2015,tea
4006,02/07/2015,tea
3913,21/03/2015,tea
4134,28/11/2015,tea
3195,30/01/2015,tea
4432,25/09/2015,tea
3363,18/05/2015,tea
3683,05/12/2015,tea
1349,10/05/2015,tea
2051,14/11/2015,tea
2512,23/04/2015,tea
4888,13/02/2015,tea
4606,13/03/2015,tea
1395,26/06/2015,tea
1793,19/05/2015,tea
4320,18/04/2015,tea
1994,05/10/2015,tea
1422,28/02/2015,tea
3082,20/02/2015,tea
3691,05/02/2015,tea
4550,02/03/2015,tea
4117,10/12/2015,tea
2589,12/02/2015,tea
4841,17/12/2015,tea
3748,27/03/2015,tea
4077,18/03/2015,tea
3529,13/09/2015,tea
3484,05/08/2015,tea
1817,21/08/2015,tea
3365,25/10/2015,tea
4952,22/10/2015,tea
1780,13/10/2015,tea
4301,20/12/2015,tea
4088,23/09/2015,tea
3552,02/09/2015,tea
3512,17/11/2015,tofu
3300,25/07/2015,tofu
3109,29/06/2015,tofu
1708,18/09/2015,tofu
3761,26/09/2015,tofu
4564,13/06/2015,tofu
4601,15/12/2015,tofu
3229,07/08/2015,tofu
2663,18/05/2015,tofu
2209,20/07/2015,tofu
3694,17/12/2015,tofu
3429,10/05/2015,tofu
3247,01/11/2015,tofu
1326,07/02/2015,rice
2053,17/09/2015,rice
2336,14/04/2015,chewing gum
1646,19/06/2015,chewing gum
2671,27/07/2015,chewing gum
3453,16/12/2015,chewing gum
4947,14/09/2015,chewing gum
2978,25/11/2015,chewing gum
4547,18/01/2015,chewing gum
1932,15/03/2015,chewing gum
4696,18/08/2015,chewing gum
1659,25/03/2015,chewing gum
3160,22/01/2015,chewing gum
4546,03/09/2015,quark
1503,25/07/2015,quark
1507,22/06/2015,quark
2870,21/01/2015,quark
4088,13/01/2015,quark
4899,12/03/2015,quark
3006,27/12/2015,quark
4953,16/09/2015,quark
4796,29/06/2015,quark
3819,28/06/2015,quark
2798,17/06/2015,quark
4129,13/08/2015,quark
4584,25/10/2015,quark
4842,08/12/2015,quark
2730,15/06/2015,quark
1981,31/10/2015,quark
4303,07/12/2015,quark
3694,10/11/2015,quark
4224,24/02/2015,quark
4212,07/04/2015,quark
1902,01/12/2015,quark
2496,29/06/2015,quark
3590,28/03/2015,quark
2867,23/12/2015,quark
1512,20/09/2015,quark
1929,02/05/2015,quark
4103,26/07/2015,quark
4551,28/07/2015,quark
2599,06/05/2015,quark
1045,25/11/2015,quark
4841,13/09/2015,quark
4869,06/02/2015,quark
1334,07/06/2015,quark
2386,30/01/2015,quark
3101,21/01/2015,quark
4022,31/07/2015,quark
3609,12/12/2015,quark
2625,03/10/2015,quark
2356,31/01/2015,quark
2525,16/11/2015,quark
2364,08/09/2015,quark
1628,05/02/2015,quark
3084,12/08/2015,quark
4751,19/11/2015,quark
2069,02/07/2015,quark
2447,25/06/2015,quark
1233,31/07/2015,quark
1452,27/10/2015,quark
3077,31/08/2015,quark
4275,11/09/2015,quark
2128,09/07/2015,quark
4137,26/12/2015,quark
3248,14/01/2015,quark
2690,06/03/2015,quark
4633,17/08/2015,quark
2906,08/07/2015,quark
3101,17/01/2015,quark
2525,23/10/2015,quark
1710,21/05/2015,quark
2652,26/12/2015,quark
1768,21/04/2015,quark
1213,03/03/2015,quark
2251,23/06/2015,quark
4384,25/05/2015,quark
2582,06/03/2015,quark
3571,21/10/2015,quark
3436,27/03/2015,quark
4308,07/04/2015,quark
2494,10/06/2015,quark
2200,08/03/2015,quark
1731,20/11/2015,quark
4376,22/07/2015,quark
1252,11/03/2015,quark
3782,03/02/2015,quark
3976,20/09/2015,quark
1866,13/07/2015,quark
1618,02/08/2015,quark
2446,29/07/2015,quark
1142,13/06/2015,quark
3741,23/01/2015,quark
2946,04/11/2015,quark
1715,03/05/2015,quark
3048,10/12/2015,quark
2502,07/02/2015,quark
1825,06/10/2015,quark
4282,23/06/2015,quark
4619,16/06/2015,quark
3122,31/10/2015,quark
3443,18/04/2015,quark
1917,29/07/2015,quark
2324,18/08/2015,quark
2553,20/07/2015,quark
4362,02/03/2015,quark
2165,27/04/2015,quark
4231,11/01/2015,quark
3289,26/12/2015,quark
1991,22/10/2015,quark
4748,24/03/2015,quark
3132,30/07/2015,quark
4937,10/04/2015,quark
3983,20/07/2015,quark
1330,18/05/2015,quark
3175,23/11/2015,quark
2945,19/07/2015,quark
4431,21/08/2015,quark
3434,10/06/2015,quark
1668,05/05/2015,quark
2018,20/04/2015,quark
4050,06/07/2015,quark
2346,17/09/2015,quark
3119,20/02/2015,quark
1855,28/04/2015,quark
3241,09/08/2015,quark
4661,18/04/2015,quark
3355,02/12/2015,quark
3396,14/05/2015,quark
2040,06/04/2015,quark
4049,01/08/2015,quark
1509,04/11/2015,quark
4679,10/11/2015,quark
4030,04/07/2015,quark
3308,19/08/2015,quark
3790,28/10/2015,quark
2431,18/07/2015,quark
4120,01/12/2015,quark
2460,27/10/2015,quark
2592,20/03/2015,quark
4022,24/04/2015,quark
3465,15/01/2015,quark
3276,23/02/2015,quark
4494,02/11/2015,quark
1170,01/12/2015,quark
2237,09/02/2015,quark
2848,15/11/2015,quark
1116,23/07/2015,quark
3629,13/04/2015,quark
1853,03/02/2015,quark
3334,03/05/2015,quark
2664,20/09/2015,quark
3002,22/01/2015,quark
2977,16/11/2015,quark
4741,25/02/2015,quark
4260,16/11/2015,quark
2606,26/01/2015,quark
3881,02/04/2015,quark
3050,06/05/2015,quark
4546,03/09/2015,herb quark
1503,25/07/2015,herb quark
1507,22/06/2015,herb quark
2870,21/01/2015,herb quark
4088,13/01/2015,herb quark
4899,12/03/2015,herb quark
3006,27/12/2015,herb quark
4953,16/09/2015,herb quark
4796,29/06/2015,herb quark
3819,28/06/2015,herb quark
2798,17/06/2015,herb quark
4129,13/08/2015,herb quark
4584,25/10/2015,herb quark
4842,08/12/2015,herb quark
2730,15/06/2015,herb quark
1981,31/10/2015,herb quark
4303,07/12/2015,herb quark
3694,10/11/2015,herb quark
4224,24/02/2015,herb quark
4212,07/04/2015,herb quark
1902,01/12/2015,herb quark
2496,29/06/2015,herb quark
3590,28/03/2015,herb quark
2867,23/12/2015,herb quark
1512,20/09/2015,herb quark
1929,02/05/2015,herb quark
4103,26/07/2015,herb quark
4551,28/07/2015,herb quark
2599,06/05/2015,herb quark
1045,25/11/2015,herb quark
4841,13/09/2015,herb quark
4869,06/02/2015,herb quark
1334,07/06/2015,herb quark
2386,30/01/2015,herb quark
3101,21/01/2015,herb quark
4022,31/07/2015,herb quark
3609,12/12/2015,herb quark
2625,03/10/2015,herb quark
2356,31/01/2015,herb quark
2525,16/11/2015,herb quark
2364,08/09/2015,herb quark
1628,05/02/2015,herb quark
3084,12/08/2015,herb quark
4751,19/11/2015,herb quark
2069,02/07/2015,herb quark
2447,25/06/2015,herb quark
1233,31/07/2015,herb quark
1452,27/10/2015,herb quark
3077,31/08/2015,herb quark
4275,11/09/2015,herb quark
2128,09/07/2015,herb quark
4137,26/12/2015,herb quark
3248,14/01/2015,herb quark
2690,06/03/2015,herb quark
4633,17/08/2015,herb quark
2906,08/07/2015,herb quark
3101,17/01/2015,herb quark
2525,23/10/2015,herb quark
1710,21/05/2015,herb quark
2652,26/12/2015,herb quark
1768,21/04/2015,herb quark
1213,03/03/2015,herb quark
2251,23/06/2015,herb quark
4384,25/05/2015,herb quark
2582,06/03/2015,herb quark
3571,21/10/2015,herb quark
3436,27/03/2015,herb quark
4308,07/04/2015,herb quark
2494,10/06/2015,herb quark
2200,08/03/2015,herb quark
1731,20/11/2015,herb quark
4376,22/07/2015,herb quark
1252,11/03/2015,herb quark
3782,03/02/2015,herb quark
3976,20/09/2015,herb quark
1866,13/07/2015,herb quark
1618,02/08/2015,herb quark
2446,29/07/2015,herb quark
1142,13/06/2015,herb quark
3741,23/01/2015,herb quark
2946,04/11/2015,herb quark
1715,03/05/2015,herb quark
3048,10/12/2015,herb quark
2502,07/02/2015,herb quark
1825,06/10/2015,herb quark
4282,23/06/2015,herb quark
4619,16/06/2015,herb quark
3122,31/10/2015,herb quark
3443,18/04/2015,herb quark
1917,29/07/2015,herb quark
2324,18/08/2015,herb quark
2553,20/07/2015,herb quark
4362,02/03/2015,herb quark
2165,27/04/2015,herb quark
4231,11/01/2015,herb quark
3289,26/12/2015,herb quark
1991,22/10/2015,herb quark
4748,24/03/2015,herb quark
3132,30/07/2015,herb quark
4937,10/04/2015,herb quark
3983,20/07/2015,herb quark
1330,18/05/2015,herb quark
3175,23/11/2015,herb quark
2945,19/07/2015,herb quark
4431,21/08/2015,herb quark
3434,10/06/2015,herb quark
1668,05/05/2015,herb quark
2018,20/04/2015,herb quark
4050,06/07/2015,herb quark
2346,17/09/2015,herb quark
3119,20/02/2015,herb quark
1855,28/04/2015,herb quark
3241,09/08/2015,herb quark
4661,18/04/2015,herb quark
3355,02/12/2015,herb quark
3396,14/05/2015,herb quark
